order_id,order_date,year,month_num,month_name,customer_segment,customer_name,customer_commune,sales_channel,sales_rep,product_line,sku,cut_type,vendor_name,kilos_sold,planned_kilos,unit_price_clp_per_kg,gross_sales_clp,discount_pct,discount_value_clp,return_pct,returns_value_clp,net_sales_clp,raw_material_cost_clp,process_cost_clp,packaging_cost_clp,waste_pct,waste_cost_clp,logistics_cost_clp,admin_cost_clp,total_cost_clp,gross_margin_clp,operating_margin_clp,delivery_on_time_flag,fill_rate_pct,promo_flag,payment_term_days,route_day,temperature_incident_flag,stockout_flag,claim_flag
OC-10033,2025-01-23,2025,1,Enero,Retail,Minimarket CentroSur,Maipu,Mayorista Retail,Daniela Araya,Congelados,Baby Back Ribs 1kg,Costillar,Proteina Austral,511.5,535.2,7065.23,3613864,0.0,0,0.0086,31018,3582846,2514395,139954,122090,0.0219,55041,237350,30057,3098888,751366,483959,1,0.9557,0,30,miercoles,0,0,0
OC-10034,2025-01-12,2025,1,Enero,Pyme,Alimentos San Damian,Huechuraba,Ruta Comercial,Nicolas Perez,Granel HORECA/Pyme,Costillar Granel,Costillar,Carnes del Valle,113.5,121.6,5084.62,577104,0.0,0,0.0298,17212,559892,425701,33302,9678,0.018,7663,47243,6541,530128,83548,29764,1,0.9331,0,30,lunes,0,0,0
OC-10035,2025-01-15,2025,1,Enero,Retail,Cadena Vecina,La Cisterna,Sala,Felipe Morales,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,Carnes del Valle,681.6,718.4,4693.32,3198967,0.0,0,0.0146,46641,3152326,2550331,197389,54632,0.0307,78216,122779,21844,3025191,271758,127135,1,0.9488,0,7,jueves,0,0,0
OC-10036,2025-01-15,2025,1,Enero,Pyme,Fiambreria La 10,San Bernardo,Venta Directa,Nicolas Perez,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,Carnes del Valle,,188.8,4808.1,852957,0.0,0,0.0129,11014,841943,612076,49575,14401,0.023,14056,19781,15797,725686,151835,116256,1,0.9396,0,7,lunes,0,0,0
OC-10037,2025-01-12,2025,1,Enero,Retail,Cadena Vecina,Santiago,Mayorista Retail,Camila Rojas,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Carnes del Valle,529.4,531.7,5679.7,3006835,0.0,0,0.0017,5093,3001742,2253607,203511,94205,0.0126,28394,203882,21660,2805259,422024,196483,1,0.9956,0,45,viernes,0,1,0
OC-10038,2025-01-16,2025,1,Enero,Pyme,Pyme Sabores del Barrio,Penalolen,WhatsApp Comercial,Daniela Araya,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,Proteina Austral,121.1,127.6,5515.44,667919,0.0,0,0.0233,15556,652364,462301,40795,21657,0.0248,11476,15815,8791,560834,116135,91530,1,0.9491,0,0,jueves,0,0,0
OC-10039,2025-01-31,2025,1,Enero,Retail,Retail Cordillera,Maipu,Mayorista Retail,Nicolas Perez,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,AgroCarnes Chile,401.3,434.7,4559.02,1829534,0.0,0,0.0127,23286,1806248,1498050,82863,33163,0.0271,40545,132329,24816,1811766,151627,-5518,1,0.9231,0,45,lunes,0,0,0
OC-10040,2025-01-08,2025,1,Enero,Retail,Retail Cordillera,La Florida,Convenio,Camila Rojas,Granel HORECA/Pyme,Costillar Granel,Costillar,Proteina Austral,266.4,268.8,5074.81,1351928,0.0,0,0.0089,12071,1339857,972211,87897,23239,0.0116,11245,76321,32139,1203052,245265,136804,1,0.9912,0,60,viernes,0,0,0
OC-10041,2025-01-29,2025,1,Enero,Retail,Retail Cordillera,La Cisterna,Sala,Nicolas Perez,Granel HORECA/Pyme,Costillar Granel,Costillar,Proteina Austral,198.0,199.9,5157.46,1021178,0.03,30635,0.007,6901,983641,749999,62623,16502,0.0132,9870,102838,31486,973319,144648,10323,1,0.9903,1,60,miercoles,0,0,0
OC-10042,2025-01-28,2025,1,Enero,Retail,Cadena Vecina,Estacion Central,Sala,Daniela Araya,Congelados,Baby Back Ribs 1kg,Costillar,Proteina Austral,722.5,736.3,7252.39,5239849,0.0,0,0.0132,68930,5170920,3313410,242366,167427,0.0088,29249,120224,26216,3898892,1418467,1272027,1,0.9812,0,45,jueves,0,0,0
OC-10043,2025-01-18,2025,1,Enero,Retail,Minimarket CentroSur,Lo Prado,Convenio,Javiera Soto,Marinados,Plateada a la Chilena 1kg,Plateada,AgroCarnes Chile,210.8,235.5,6272.24,1322189,0.1,132219,0.0204,24221,1165749,942242,96703,46176,0.0255,23990,115166,28177,1252454,56638,-86705,1,0.8952,1,15,viernes,0,0,0
OC-10044,2025-01-17,2025,1,Enero,Retail,Distribuidora Alameda,Estación Central,Convenio,Daniela Araya,Congelados,Baby Back Ribs 1kg,Costillar,Frigorifico Sur,550.7,588.9,6780.15,3733831,0.0,0,0.0057,21384,3712447,2709944,146997,129020,0.0026,7178,215811,27600,3236550,719307,475896,1,0.9352,0,45,martes,0,0,0
OC-10045,2025-01-23,2025,1,Enero,Retail,Minimarket CentroSur,Lo Prado,Convenio,Javiera Soto,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Carnes del Valle,287.0,306.2,5182.05,1487247,0.0,0,0.0175,25991,1461256,1066238,122624,49922,0.0179,19084,142886,24744,1425497,203389,35759,1,0.9372,0,45,miercoles,0,0,0
OC-10046,2025-01-21,2025,1,Enero,Retail,Mercado Capital,La Cisterna,Mayorista Retail,Daniela Araya,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,Frigorifico Sur,439.8,480.5,4750.64,2089332,0.0,0,0.0093,19416,2069915,1571318,122842,33295,0.0169,26561,218215,35463,2007692,315901,62223,1,0.9153,0,45,jueves,0,0,0
OC-10047,2025-01-27,2025,1,Enero,Pyme,Carniceria Don Mateo,La Florida,Venta Directa,Javiera Soto,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Frigorifico Sur,158.3,162.0,5641.6,893065,0.0,0,0.0305,27215,865850,606187,63519,26891,0.0398,24150,56340,15031,792119,145102,73730,1,0.9774,0,15,miercoles,0,0,0
OC-10048,2025-01-09,2025,1,Enero,Pyme,Fiambreria La 10,Las Condes,Venta Directa,Javiera Soto,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Proteina Austral,113.1,121.8,5250.71,593855,0.0,0,0.0284,16838,577017,393140,49581,20203,0.023,9050,38793,11168,521936,105043,55082,1,0.9288,0,15,jueves,0,0,0
OC-10049,2025-01-30,2025,1,Enero,Pyme,Abastos Franklin,La Cisterna,Ruta Comercial,Javiera Soto,Cerdo Fresco,Costillar Tradicional 900g,Costillar,AgroCarnes Chile,45.8,46.1,5921.35,271198,0.0,0,0.0212,5740,265457,175648,17986,8787,0.026,4574,38344,5806,251145,58463,14313,1,0.9931,0,0,lunes,0,0,0
OC-10050,2025-01-29,2025,1,Enero,Retail,Mercado Capital,Huechuraba,Convenio,Daniela Araya,Congelados,Baby Back Ribs 1kg,Costillar,AgroCarnes Chile,832.1,899.4,6833.18,5685886,0.0,0,0.0156,88625,5597261,4019656,373815,189036,0.0121,48672,228678,32266,4892123,966081,705138,1,0.9252,0,15,lunes,0,0,0
OC-10051,2025-01-13,2025,1,Enero,Retail,Retail Cordillera,Maipu,Convenio,Felipe Morales,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Carnes del Valle,563.1,581.7,5240.67,2951023,0.0,0,0.0078,22934,2928089,2115359,181090,100049,0.0127,26816,111068,41933,2576315,504774,351774,1,0.968,0,45,viernes,0,0,0
OC-10052,2025-01-17,2025,1,Enero,Pyme,Abastos Franklin,Huechuraba,Venta Directa,Javiera Soto,Granel HORECA/Pyme,Costillar Granel,Costillar,Proteina Austral,72.7,76.9,5266.87,382902,0.0,0,0.0232,8865,374036,274690,22705,5948,0.0243,6678,54422,14483,378927,64016,-4890,1,0.9456,0,0,jueves,0,0,0
OC-10053,2025-01-04,2025,1,Enero,Pyme,Comercial Santa Rosa,Lo Prado,WhatsApp Comercial,Javiera Soto,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,Proteina Austral,200.8,206.7,4868.09,977512,0.0,0,0.0167,16360,961152,721875,58393,15669,0.0219,15824,22781,7546,842087,149391,119065,1,0.9714,0,30,martes,0,0,0
OC-10054,2025-01-05,2025,1,Enero,Retail,Supermercado Andino,Maipu,Convenio,Nicolas Perez,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,AgroCarnes Chile,338.7,339.4,5786.62,1959929,0.0,0,0.0066,12982,1946947,1363513,136641,66961,0.0082,11131,145605,26350,1750200,368702,196747,0,0.9979,0,60,miercoles,0,0,0
OC-10055,2025-01-18,2025,1,Enero,Pyme,Alimentos San Damian,Maipú,Ruta Comercial,Daniela Araya,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,Proteina Austral,177.3,191.9,6088.02,1079406,0.0,0,0.0156,16806,1062601,733654,87645,38092,0.0317,23292,53315,11470,947469,179917,115132,0,0.9241,0,7,viernes,0,0,0
OC-10056,2025-01-17,2025,1,Enero,Pyme,Emporio La Reina,San Bernardo,WhatsApp Comercial,Camila Rojas,Cerdo Fresco,Costillar Tradicional 900g,Costillar,AgroCarnes Chile,87.1,93.2,5734.71,499493,0.0,0,0.0168,8388,491105,362632,32849,15588,0.029,10508,15497,11122,448196,69528,42910,1,0.9343,0,15,martes,0,0,0
OC-10057,2025-01-18,2025,1,Enero,Pyme,Alimentos San Damian,Cerrillos,Venta Directa,Nicolas Perez,Granel HORECA/Pyme,Costillar Granel,Costillar,AgroCarnes Chile,44.8,46.4,5211.6,233480,0.07,16344,0.0199,4323,212813,175220,14647,3841,0.0194,3406,39459,13253,249826,15699,-37012,1,0.9651,1,0,miercoles,0,0,0
OC-10058,2025-01-27,2025,1,Enero,Retail,Minimarket CentroSur,Estacion Central,Mayorista Retail,Daniela Araya,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,Carnes del Valle,613.7,622.1,5965.77,3661192,0.07,256283,0.0109,36996,3367912,2620056,251450,124894,0.0215,56365,189651,35785,3278201,315147,89711,1,0.9865,1,45,martes,0,0,0
OC-10059,2025-01-03,2025,1,Enero,Retail,Retail Cordillera,Huechuraba,Sala,Javiera Soto,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,AgroCarnes Chile,575.5,614.4,6109.64,3516095,0.05,175805,0.0,0,3340291,2579484,165995,117204,0.0106,27397,236187,37574,3163841,450211,176449,1,0.9367,1,60,viernes,0,0,0
OC-10060,2025-01-27,2025,1,Enero,Pyme,Abastos Franklin,Pudahuel,Venta Directa,Daniela Araya,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Carnes del Valle,56.9,63.6,5887.1,334976,0.0,0,0.0122,4088,330888,237616,16497,10968,0.0197,4681,21516,9969,301245,61127,29642,1,0.8944,0,7,jueves,0,0,0
OC-10061,2025-01-19,2025,1,Enero,Retail,Mercado Capital,Providencia,Sala,Nicolas Perez,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Frigorifico Sur,673.4,697.4,5534.09,3726653,0.0,0,0.0048,17748,3708905,2740900,236000,129744,0.0151,41330,171860,25059,3344892,560931,364013,1,0.9655,0,15,viernes,0,0,0
OC-10062,2025-01-20,2025,1,Enero,Retail,Mercado Capital,La Florida,Mayorista Retail,Felipe Morales,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,Carnes del Valle,344.1,366.3,4558.46,1568567,0.0,0,0.0053,8386,1560181,1223299,69362,25978,0.0187,22866,188396,40277,1570178,218677,-9997,1,0.9394,0,60,lunes,0,0,0
OC-10063,2025-01-28,2025,1,Enero,Retail,Retail Cordillera,Las Condes,Convenio,Daniela Araya,Marinados,Plateada a la Chilena 1kg,Plateada,Proteina Austral,442.4,445.6,6630.66,2933403,0.0,0,0.0033,9823,2923579,2025472,187808,95550,0.026,52592,146522,40627,2548571,562158,375008,1,0.9929,0,30,viernes,0,0,0
OC-10064,2025-01-05,2025,1,Enero,Pyme,Fiambreria La 10,San Bernardo,Ruta Comercial,Camila Rojas,Marinados,Costillar a la Chilena 1kg,Costillar,Frigorifico Sur,225.0,233.8,6780.74,1525666,0.0,0,0.0209,31958,1493707,933053,88663,48183,0.0112,10427,37535,10786,1128647,413382,365061,0,0.9622,0,0,viernes,0,0,0
OC-10065,2025-01-04,2025,1,Enero,Pyme,Emporio La Reina,Maipú,Ruta Comercial,,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Carnes del Valle,63.8,68.6,5659.96,361105,0.0,0,0.0315,11378,349727,219967,22567,10303,0.0168,3692,31679,16186,304393,93199,45334,1,0.9302,0,7,viernes,0,0,1
OC-10066,2025-01-11,2025,1,Enero,Retail,Cadena Vecina,Quilicura,Sala,Nicolas Perez,Cerdo Fresco,Costillar Tradicional 900g,Costillar,Frigorifico Sur,351.0,354.7,5811.41,2039804,0.1,203980,0.0125,23021,1812802,1451186,148579,62218,0.0336,48725,197439,34021,1942168,102094,-129365,1,0.9897,1,30,martes,0,0,0
OC-10067,2025-01-10,2025,1,Enero,Pyme,Comercial Santa Rosa,Puente Alto,Venta Directa,Daniela Araya,Congelados,Chuleta Vetada Congelada 1kg,Chuleta,Frigorifico Sur,217.3,237.4,6203.63,1348050,0.02,26961,0.0167,22005,1299084,968119,88610,44896,0.0336,32515,32163,7074,1173377,164944,125707,0,0.9154,1,30,viernes,0,0,0
OC-10068,2025-01-18,2025,1,Enero,Retail,Supermercado Andino,Puente Alto,Convenio,Camila Rojas,Cerdo Fresco,Pulpa Pierna 1kg,Pulpa,Carnes del Valle,597.8,598.7,5477.16,3274248,0.0,0,0.0172,56409,3217838,2224036,250596,101858,0.0224,49879,194293,25846,2846509,591469,371329,1,0.9985,0,30,martes,0,0,0
OC-10069,2025-01-15,2025,1,Enero,Retail,Distribuidora Alameda,Pudahuel,Convenio,Nicolas Perez,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,AgroCarnes Chile,224.1,225.1,4572.97,1024802,0.0,0,0.0555,56924,967878,751978,44022,17635,0.0318,23945,90299,35386,963265,130298,4613,1,0.9958,0,7,viernes,0,0,0
OC-10070,2025-01-12,2025,1,Enero,Retail,Distribuidora Alameda,Cerrillos,Mayorista Retail,Camila Rojas,Cerdo Fresco,Chuleta Centro 1kg,Chuleta,Proteina Austral,507.4,560.8,5161.7,2619046,0.0,0,0.0262,68516,2550530,1782204,132765,85327,0.0278,49506,156559,31706,2238068,500728,312462,1,0.9048,0,15,viernes,0,0,0
OC-10071,2025-01-24,2025,1,Enero,Pyme,Pyme Sabores del Barrio,La Cisterna,Ruta Comercial,Nicolas Perez,Granel HORECA/Pyme,Pulpa Pierna Granel,Pulpa,Frigorifico Sur,44.4,45.5,5154.73,228870,0.0,0,0.0234,5361,223509,163649,12792,3652,0.0225,3685,15442,10567,209787,39731,13722,1,0.9763,0,15,martes,0,0,0
OC-10072,2025-01-31,2025,1,Enero,Retail,Distribuidora Alameda,Pudahuel,Sala,Camila Rojas,Marinados,Costillar a la Chilena 1kg,Costillar,Proteina Austral,532.6,585.2,6172.85,3287658,0.0,0,0.0067,22003,3265655,2402621,157834,110310,0.0219,52682,240449,19651,2983546,542209,282109,1,0.91,0,7,martes,0,0,0
